Neighborhood	Sector #	Population (2010)	Total # Units (2000)	Total # Units (2010)	% Occupied Units (2010)	% Vacant Units (2010)	# Occupied Units (2010)	% Owner Occupied Units (2010)	% Renter Occupied Units (2010)	Est. Avg. Yrs. of Residence (2010)	% Living in Household (2010)	% Living in Group Quarters (2010)	% Units Built 00-09	% Units Built 90-99	% Units Built 80-89	% Units Built 60-79	% Units Built 40-59	% Units Built before 1939	Median Home Value (2000)	Med. Val. ('00 in '10 Dollars)	Median Home  Value (2010)	% Change Real Value 2000-2010	Median Sale Price (2010)	# Sales Counted (2010)	Foreclosures (2008)	Foreclosures (2010)	% of all Housing Units Foreclosed (2010)
Bluff	15	6600	721	388	0.72680412371133995552696660524816252291202545166015625	0.273195876288659988961882163494010455906391143798828125	293	0.37201365187713297810745416427380405366420745849609375	0.62798634812286702189254583572619594633579254150390625	0	0.07241910631741099724223431621794588863849639892578125	0.9275808936825880035570435211411677300930023193359375	0	0.01356589147286800002556450550628142082132399082183837890625	0.054263565891472999302980184666012064553797245025634765625	0.1395348837209300085770991017852793447673320770263671875	0.147286821705426007600436832944978959858417510986328125	0.64534883720930202866128411187673918902873992919921875	40600.0	51411.8034682	21200.0	-0.587643331495	50000.0	40	0	1	0.002577319587628999937589657776015883428044617176055908203125
Bon Air	6	808	404	387	0.94056847545219601780530638279742561280727386474609375	0.059431524547804003011375328924259520135819911956787109375	423	0.84869976359338095139861479765386320650577545166015625	0.151300236406618993090233971088309772312641143798828125	15	1	0	0	0.0277136258660510004236954273437731899321079254150390625	0.0461893764434180009725849913593265227973461151123046875	0.0277136258660510004236954273437731899321079254150390625	0.55196304849884503251900014220154844224452972412109375	0.34642032332563499341659962738049216568470001220703125	63300.0	80156.8265896	69500.0	-0.132949706756	65000.0	7	2	4	0.010335917312662000477896384609266533516347408294677734375
Brighton Heights	2	7247	3664	3615	0.90152143845089904861112017897539772093296051025390625	0.098478561549101006900031052282429300248622894287109375	3645	0.65733882030178303335077316660317592322826385498046875	0.342661179698217022160378064654651097953319549560546875	4.6666666666666696272613990004174411296844482421875	1	0	0.00283213182286299984535826723686113837175071239471435546875	0.0370751802265699981209223778932937420904636383056640625	0.09088568486096799958762204596496303565800189971923828125	0.0502059732234809985573775747980107553303241729736328125	0.2031410916580839998157870240902411751449108123779296875	0.615859938208032975381911455770023167133331298828125	68733.0	87036.6376301	81433.3333333	-0.0643786852215	67000.0	163	55	35	0.0096818810511760007575521314038269338198006153106689453125
Brookline	5	13214	6349	6364	0.9351037083595219456810809788294136524200439453125	0.064896291640477998807767789912759326398372650146484375	6183	0.7452692867540029464379358614678494632244110107421875	0.254730713245996998050912907274323515594005584716796875	8.75	1	0	0.0060848916592460000618558524365653283894062042236328125	0.004600771742356999684242513382059769355691969394683837890625	0.0345799940635199976046720848898985423147678375244140625	0.1215494211932320045566058297481504268944263458251953125	0.45903829029385601057100529942545108497142791748046875	0.3741466310477890022667679659207351505756378173828125	67175.0	85063.7413295	82150.0	-0.0342536230354	75000.0	251	78	62	0.0097423004399749997539448287398045067675411701202392578125
California-Kirkbride	3	761	450	393	0.79389312977099202317532444794778712093830108642578125	0.2061068702290080045802511676811263896524906158447265625	268	0.440298507462687005453716437841649167239665985107421875	0.55970149253731305005743479341617785394191741943359375	5	0.950990615224192037402417554403655230998992919921875	0.049009384775807997292051965132486657239496707916259765625	0.055928411633109999245849763838123180903494358062744140625	0.08277404921700200202128172577431541867554187774658203125	0	0.0648769574944070004374196969365584664046764373779296875	0.1946308724832210013122590908096753992140293121337890625	0.60178970917226004555544704999192617833614349365234375	32000.0	40521.6184971	113200.0	1.79357054823	9600.0	38	4	2	0.005089058524172999746493228911958794924430549144744873046875
Carrick	5	10113	5114	5041	0.8815711168418960408388329597073607146739959716796875	0.11842888315810400079453046373600955121219158172607421875	4772	0.6839899413243919479299393060500733554363250732421875	0.316010058675607996558909462692099623382091522216796875	8	0.98988163421153096965809936591540463268756866455078125	0.01011836578846900085160154247887476230971515178680419921875	0.00545112781954899990044527413601826992817223072052001953125	0.0065789473684210002246697257533014635555446147918701171875	0.0242481203007520011716291463699235464446246623992919921875	0.1261278195488720055283948795477044768631458282470703125	0.26842105263157900463255600698175840079784393310546875	0.5691729323308269972159223470953293144702911376953125	53233.0	67408.9786705	66900.0	-0.00755060647051	40250.0	150	68	49	0.009720293592541000282647445374095696024596691131591796875
Central Business District	16	3629	1623	2342	0.81383432963279200844652905288967303931713104248046875	0.18616567036720799155347094711032696068286895751953125	1627	0.2397049784880150025134781799351912923157215118408203125	0.7602950215119850252420974356937222182750701904296875	0	0.72724089635854405333503791553084738552570343017578125	0.272759103641457001376835478367866016924381256103515625	0.042296072507552996688762192434296594001352787017822265625	0.0176233635448139989987392795001142076216638088226318359375	0.03927492447129900254854106833590776659548282623291015625	0.39526686807653599320389048443757928907871246337890625	0.147532729103726001351759578028577379882335662841796875	0.358006042296072024555542157031595706939697265625	59400.0	75218.2543353	125800.0	0.672466359553	240000.0	99	1	6	0.002561912894961999864751334143875283189117908477783203125
Central Lawrenceville	13	4482	2904	2670	0.85880149812734096759214708072249777615070343017578125	0.1411985018726590046522773036485887132585048675537109375	2388	0.491624790619765994481582538355723954737186431884765625	0.50837520938023395000726623038644902408123016357421875	5.5	0.95506552943623901352765415140311233699321746826171875	0.04493447056376100035013365641134441830217838287353515625	0.005263157894736999846407865533137737656943500041961669921875	0.01403508771929799954503170766884068143554031848907470703125	0.0200000000000000004163336342344337026588618755340576171875	0.0547368421052630005352312991817598231136798858642578125	0.142456140350877002997975750986370258033275604248046875	0.7635087719298250252819570960127748548984527587890625	41950.0	53121.3092486	66850.0	0.258440368764	67500.0	107	11	11	0.004119850187266000003660781914049948682077229022979736328125
Central Northside	3	2923	1992	1971	0.805175038051749947243251881445758044719696044921875	0.194824961948249997245596887296414934098720550537109375	1522	0.4375821287779240176263328976347111165523529052734375	0.5624178712220759823736671023652888834476470947265625	3.5	0.9699008498583570059281555586494505405426025390625	0.030099150141643001010738345257777837105095386505126953125	0	0.0153010858835140005351771463892873725853860378265380859375	0.0153010858835140005351771463892873725853860378265380859375	0.0893385982231000019826439029202447272837162017822265625	0.15054294175715698944628684330382384359836578369140625	0.72951628825271497280624544146121479570865631103515625	63550.0	80473.4017341	124300.0	0.544609738392	59247.0	117	16	14	0.0071029934043629998352553656104646506719291210174560546875
Central Oakland	14	6086	2555	2531	0.9419201896483599956155785548617132008075714111328125	0.058079810351639997445527541231058421544730663299560546875	1970	0.1380710659898480019425193177085020579397678375244140625	0.86192893401015202581305629792041145265102386474609375	0	0.93283270755110603289494974887929856777191162109375	0.0671672924488939948606258667496149428188800811767578125	0.0034364261168380000159572329465618167887441813945770263671875	0.0214776632302410008801274443612783215939998626708984375	0.08333333333333299564049667651488562114536762237548828125	0.262457044673539974244391714819357730448246002197265625	0.1761168384879729931213887539342977106571197509765625	0.4531786941580759897618690956733189523220062255859375	62100.0	78637.265896	144350.0	0.835643678037	104940.0	22	1	1	0.0003951007506909999847898029567971889264299534261226654052734375
